"ID";"Hour";"Weather";"Accident";"Stall";"Target"
"D1";08:00:00 AM;"Sunny";"No";"No";"Long"
"D2";08:00:00 AM;"Cloudy";"No";"Yes";"Long"
"D3";10:00:00 AM;"Sunny";"No";"No";"Short"
"D4";09:00:00 AM;"Rainy";"Yes";"No";"Long"
"D5";09:00:00 AM;"Sunny";"Yes";"Yes";"Long"
"D6";10:00:00 AM;"Sunny";"No";"No";"Short"
"D7";10:00:00 AM;"Cloudy";"No";"No";"Short"
"D8";09:00:00 AM;"Rainy";"No";"No";"Medium"
"D9";09:00:00 AM;"Sunny";"Yes";"No";"Long"
"D10";10:00:00 AM;"Cloudy";"Yes";"Yes";"Long"
"D11";10:00:00 AM;"Rainy";"No";"No";"Short"
"D12";08:00:00 AM;"Cloudy";"Yes";"No";"Long"
"D13";09:00:00 AM;"Sunny";"No";"No";"Medium"
